,Variable,Value,Label
1749,,2,Disagree
1750,,3,Agree
1751,,4,Strongly agree
1752,p41e,1,Strongly disagree
1753,,2,Disagree
1754,,3,Agree
1755,,4,Strongly agree
1756,p41f,1,Strongly disagree
1757,,2,Disagree
1758,,3,Agree
1759,,4,Strongly agree
1760,p41g,1,Strongly disagree
1761,,2,Disagree
1762,,3,Agree
1763,,4,Strongly agree
1764,p41h,1,Strongly disagree
1765,,2,Disagree
1766,,3,Agree
1767,,4,Strongly agree
1768,p41i,1,Strongly disagree
1769,,2,Disagree
1770,,3,Agree
1771,,4,Strongly agree
1772,p41j,1,Strongly disagree
1773,,2,Disagree
1774,,3,Agree
1775,,4,Strongly agree
1776,p141,1,Yes
1777,,2,No
1778,p171n,0 a 1000,Training hours
1779,p172n,0 a 1000,Training hours
1780,p299d,1,Never/almost never
1781,,2,Sometimes
1782,,3,Considerably
1783,,4,Almost always/always
1784,p311a,1,Bad
1785,,2,Regular
1786,,3,Good
1787,,4,Very good
1788,p311b,1,Bad
1789,,2,Regular
1790,,3,Good
1791,,4,Very good
1792,p311c,1,Bad
1793,,2,Regular
1794,,3,Good
1795,,4,Very good
1796,p311e,1,Bad
1797,,2,Regular
1798,,3,Good
1799,,4,Very good
1800,p311f,1,Bad
1801,,2,Regular
1802,,3,Good
1803,,4,Very good
1804,p311g,1,Bad
1805,,2,Regular
1806,,3,Good
1807,,4,Very good
1808,p311h,1,Bad
1809,,2,Regular
1810,,3,Good
1811,,4,Very good
1812,p331a,1,Bad
1813,,2,Regular
1814,,3,Good
1815,,4,Very good
1816,p331b,1,Bad
1817,,2,Regular
1818,,3,Good
1819,,4,Very good
1820,p331c,1,Bad
1821,,2,Regular
1822,,3,Good
1823,,4,Very good
1824,p331d,1,Bad
1825,,2,Regular
1826,,3,Good
1827,,4,Very good
1828,p331e,1,Bad
1829,,2,Regular
1830,,3,Good
1831,,4,Very good
1832,p331f,1,Bad
1833,,2,Regular
1834,,3,Good
1835,,4,Very good
1836,p331g,1,Bad
1837,,2,Regular
1838,,3,Good
1839,,4,Very good
1840,p331j,1,Bad
1841,,2,Regular
1842,,3,Good
1843,,4,Very good
1844,pfc,1,Competences and didactic program
1845,,2,Attention to diversity
1846,,3,Didactic methodologies
1847,,4,Evaluation of the teaching/learning process
1848,,5,School management and participatory culture
1849,,6,Training in the use of TICs
1850,,7,"Speaking another language (AICLE, CLIL, PILE) "
1851,,8,Improving school environment
1852,,9,Other topics
1853,,10,There is no Training School Plan (PFC) in mi school
1854,rep,1,Yes
1855,,2,No
